Class Desc,In Person,Day,Time
M13A,TRUE,M,13
M17A,FALSE,M,17
M17B,TRUE,M,17
T13A,TRUE,T,13
T13B,TRUE,T,13
T15A,TRUE,T,15
T15B,TRUE,T,15
T17A,FALSE,T,17
T17B,TRUE,T,17
W09A,TRUE,W,9
W09B,TRUE,W,9
W11A,TRUE,W,11
W11B,TRUE,W,11
W17A,TRUE,W,17
W17B,FALSE,W,17
H09A,TRUE,H,9
H09B,TRUE,H,9
H11A,TRUE,H,11
H11B,TRUE,H,11
H13A,TRUE,H,13
H13B,TRUE,H,13
H13C,FALSE,H,13
H15A,TRUE,H,15
H15B,TRUE,H,15
H15C,FALSE,H,15
H17A,TRUE,H,17
H17B,FALSE,H,17
F09A,TRUE,F,9
F09B,TRUE,F,9
F11A,TRUE,F,11
F11B,TRUE,F,11
F11C,FALSE,F,11
F13A,TRUE,F,13
F13B,TRUE,F,13
F15A,FALSE,F,15
F15B,TRUE,F,15